cps21_ResponseId,cps21_imp_iss,Q_Language,cps21_imp_iss_tr
R_AyXgt0g6LyDHDtT,Cost of living,EN,Cost of living
R_AyreVHnH7JEa8et,Universal Basic Income,EN,Universal Basic Income
R_AyxdlmOBQsHUdX3,L'environnement,FR-CA,Environment
R_AzAa7JYSqvt8V1v,les logement abordables,FR-CA,affordable housing
R_AzHsOVzkL0wUQM1,climate change,EN,climate change
R_AzILBflhn6XxoVr,HOUSING,EN,HOUSING
R_AzX1YkGsr5cByxP,Universal basic income,EN,Universal basic income
R_AzYbEj6Z6JTR2Kt,The Pandemic,EN,The Pandemic
R_Azm9Vp8PWTJ3D8d,Democracy,EN,Democracy
R_AznT3RxwBcI5q2R,Education resources,EN,Education resources
R_BAk5YWT21ptqush,COVID control,EN,COVID control
R_BDHYy1VLSYqoxmV,Taxes,EN,Taxes
R_BDNNIK8PBBl0kb7,la langue,FR-CA,language
R_BDgYVTOb4hkYHRL,il n'y aura aucun changement aucun n'a de plan intéressant,FR-CA,there will be no change none has an interesting plan
R_BDoFJzEtkNlvt17,access to affordable housing for canadian citizens,EN,access to affordable housing for canadian citizens
R_BDoZBKVFmhrkrkZ,Health,EN,Health
R_BE3IbPlyrilUCIx,Managing the budget,EN,Managing the budget
R_BE8hVhmhEnxLn7H,Getting rid of Trudeau,EN,Getting rid of Trudeau
R_BEAPfIaxZZzYWtj,Taxation,EN,Taxation
R_BEOJCCDzHKHi8Qp,economy,EN,economy
R_BEVkr0HhoKXX733,Protéger les champs de compétence des provinces,FR-CA,Protecting Provincial Jurisdictions
R_BEW9PVFUesKKUxz,Taxes,EN,Taxes
R_BEb8FYetFgsxGSZ,Government spending and Reconciliation with Indigenous peoples,EN,Government spending and Reconciliation with Indigenous peoples
R_BEbYaJg4H9w2rip,Immigration,EN,Immigration
R_BErkDf0FpRzDdSh,To get Trudeau out of office!,EN,To get Trudeau out of office!
R_BEtXvsLw2aLw253,Health care,EN,Health care
R_BEzZlnUTUJjV2h3,our rights and freedoms,EN,our rights and freedoms
R_BF9ZgAzBgXkyT9n,Managing the COVID19 pandemic,EN,Managing the COVID19 pandemic
R_BFCBisQJrZOm8pP,Economy & jobs,EN,Economy & jobs
R_BFeshfitQJTmlXP,Economy,EN,Economy
R_BG3NChZ2yg17GuJ,Debt,EN,Debt
R_BG4aeziX9QKieYx,Indigenous people,EN,Indigenous people
R_BGiRYzmYDnhAGgp,Covid,EN,Covid
R_BGoJ79coSmSe1Il,End medical tyranny,EN,End medical tyranny
R_BGsLA5SbzEc9NVD,excessive immigration,EN,excessive immigration
R_BIWTOXiyL7jOl2x,Housing prices,EN,Housing prices
R_BIX0799y5aiBGMN,nothing,EN,nothing
R_BJLnWwnpOadZAdj,cost for programs,EN,cost for programs
R_BJNqYySb1XsOXVD,Climate change,EN,Climate change
R_BJkqRusXA3nQ41P,"vaccine not being mandatory, lockdowns",EN,"vaccine not being mandatory, lockdowns"
R_BJq9GzhsuzKIJpf,get rid of Justen,EN,get rid of Justen
R_BK4NWNltzxZ1x05,"affordable housing, living wages",EN,"affordable housing, living wages"
R_BKPD7D1tvd0Rn8J,élire un ou une premier-ministre compétent,FR-CA,elect a competent first minister or ministers
R_BKTFst8w29ncNlD,Ending this health crises asap,EN,Ending this health crises asap
R_BKcofFicfUb764F,La santé,FR-CA,Health
R_BKdtGasfYdotM53,covid policy,EN,covid policy
R_BKgLT43VdT0WNj3,L'environnement et la réforme électorale,FR-CA,The environment and electoral reform
R_BKgomy3Td5V6R0t,Covid 19,EN,Covid 19
R_BLEWMKF4V02Lb5D,Health care,EN,Health care
R_BLEWNNxpYKsgSvn,Climate change,EN,Climate change
R_BLZrlv1iorHuoI9,economie,FR-CA,Economy
R_BLZvDeHB7XEZ2ZH,Le type de fédéralisme,FR-CA,The type of federalism
R_BLdlIBpX6z2bmUx,Envoronment,EN,Envoronment
R_BLnKwz2ql1xfxSx,L’environnement,FR-CA,Environment
R_BMmYOKjDnSKZeYV,Electoral reform,EN,Electoral reform
R_BMsqZCZcpi4Bw7D,Environnement,FR-CA,Environment
R_BMvFzyjQEc8SgAF,-99,FR-CA,-99
R_BP1TNUNhmXaWljj,health care,EN,health care
R_BP2kJDcn3WoKadj,Who to vote for?,EN,Who to vote for?
R_BP3Pl97qriHy8db,Improving wages for regular workers,EN,Improving wages for regular workers
R_BP9BfuA6wf82RW1,Personal freedom,EN,Personal freedom
R_BPpo8II83Abxe9z,L'économie,FR-CA,The economy
R_BPtRFnv9mlxACPL,Climate,EN,Climate
R_BPv59KiZbDI3v3P,Environnement,FR-CA,Environment
R_BPvPXne8p71QlON,Gun Control,EN,Gun Control
R_BQFb6ebkw1hGxlT,Covid,EN,Covid
R_BQI7jORUkia7w7n,economie,FR-CA,Economy
R_BQWIbHG4rnBZprX,The post pandemic actions,EN,The post pandemic actions
R_BQWTBnewmyN1W5b,Covid,EN,Covid
R_BQbIVwlDwyRNGrT,Health care,EN,Health care
R_BQwuR3qBfG5fxJL,Economie les produits qu'on achète ne cesse d'augmenter ça na aucun sens,FR-CA,Economy the products we buy keeps increasing it doesn't make any sense
R_BQxKMWMopUzSXMB,Getting our finances in order and reduction of the national debt,EN,Getting our finances in order and reduction of the national debt
R_BRiCgFi4VJ3WfKh,housing affordability,EN,housing affordability
R_BRn9PbopmN3bABP,Party that will get things done,EN,Party that will get things done
R_BRoNef5615trF97,climate change,EN,climate change
R_BRqadmSnfLflNx7,Climate change/environment,EN,Climate change/environment
R_BS23zxjQQQZCQ25,Sante,FR-CA,Health
R_BS28JvzH3cye2ZP,The Canadian Economy,EN,The Canadian Economy
R_BSzTIXJS07Vcnfz,covid,EN,covid
R_BV7s9sDnLW0cL8B,"climate change, less immigration, economy",EN,"climate change, less immigration, economy"
R_BVB71yjTmvHGBKV,The job sector/unemployment,EN,The job sector/unemployment
R_BVVptOBUosnQnIt,heath,EN,heath
R_BVZD3zFfwhGk2oV,health care,EN,health care
R_BVp0CnT6sA8VYOJ,Proecting and improving our social programs,EN,Proecting and improving our social programs
R_BVvdxYuJXuRzQRj,Covid,EN,Covid
R_BVwMhjHGbWdDzEt,COVID 19,EN,COVID 19
R_BWcWlQd6doBqR7H,Healthcare,EN,Healthcare
R_BWyTavgsnu0et1L,Heathcare,EN,Heathcare
R_BX0BL7NuPqmohFv,the plan to deal with climate change,EN,the plan to deal with climate change
R_BX5pGY2J1YF7DpL,That most of our money stays in Canada,EN,That most of our money stays in Canada
R_BXNtryuAPzJheLL,Relance economique,FR-CA,Economic recovery
R_BXQiXynS85MH9y9,sante  economie changement climatique,FR-CA,health economics climate change
R_BXnfGuo3MFDSfFD,Ecology,EN,Ecology
R_BXsZAByMpEFnikV,Lower housing costs,EN,Lower housing costs
R_BY7LTK1d6lT83o5,Foreign policy toward fascist china,EN,Foreign policy toward fascist china
R_BYas8op8nz7QxrP,Changement,FR-CA,Change
R_BYgEk6zLQeroceJ,Economy,EN,Economy
R_BYqInbEpgzjbMfn,La santé,FR-CA,Health
R_BYtsua2SB58uGeR,La pandémie,FR-CA,The pandemic
R_BYy4UG5KsnEUyFr,L’economie,FR-CA,Economy
R_BYyuMaNT7EK0NHz,Reprise économique et comblée le manque de personnel,FR-CA,Economic recovery and staff shortage
R_BYzoIF9JfUYYsg1,Green,EN,Green
R_BqPEKQUZHX29sdz,Managing the pandemic,EN,Managing the pandemic
R_BqRHxsnXSPIVz5n,Les droits et libertés individuelles qui ont été bafoués par les gouvernements depuis le début de la COVID,FR-CA,Individual rights and freedoms that have been violated by governments since the beginning of the VOCID
R_BqVBpnjcBUC5VkZ,Party driven gridlock to implementing solutions,EN,Party driven gridlock to implementing solutions
R_BrCpTwIASYlNWnL,mental health,EN,mental health
R_BrkWx5ZxBzvCush,Human rights,EN,Human rights
R_BsUXANZ7Xso82CR,Economy,EN,Economy
R_BsqcSfRpL0KdTEJ,Human Rights,EN,Human Rights
R_BsrFbd5VoJ7rzXz,the best for the country,EN,the best for the country
R_BsvAkGNsmfTMyhX,Wealth distribution,EN,Wealth distribution
R_Bt86Eedpiffx31v,Environment,EN,Environment
R_BtDE0hqXjuSFvCF,The establishment of a national drug and national dental plan,EN,The establishment of a national drug and national dental plan
R_BteO9Ufc48YCIlr,Covid 19,EN,Covid 19
R_Btu2A6kxnhWQ49j,overpopulation,EN,overpopulation
R_BtywnYojLvpmqfD,économie,FR-CA,economy
R_Bu1gqftaDyFH5rr,covid,EN,covid
R_Bud8EZuHoa4AlEd,Réchauffement climatique,FR-CA,Climate warming
R_BuegtFF8j8lJoCR,Je ne sais pas,FR-CA,I don't know.
R_BuiDImb8DBaRZTj,Health,EN,Health
R_BuknTRt81i6FBQJ,Affordable Housing,EN,Affordable Housing
R_BwUjO5y1c2I7Al3,Économie,FR-CA,Economy
R_BwYqsXCeWS363M5,honesty and transparency at the PM level,EN,honesty and transparency at the PM level
R_BxDnB8OZziw73DH,Dette du canada,FR-CA,Debt of Canada
R_BxGfXiWOESjYlzj,Healthcare system,EN,Healthcare system
R_BxHUoT9BLYxN4tj,Housing affordability,EN,Housing affordability
R_BxO6mGYcH2LNqO5,Les droits et libertés constitutionnelles,FR-CA,Constitutional rights and freedoms
R_BxPt2KwPdaTHpip,I want health care to be universal to all with not private aspects in any province because the rich should not get better health than the poor.,EN,I want health care to be universal to all with not private aspects in any province because the rich should not get better health than the poor.
R_BxZE5AoH4XXatHj,Social issues,EN,Social issues
R_BxjaPKyyv119rrj,Économie,FR-CA,Economy
R_Bxk5hQuXSYsThQd,More money for cpp,EN,More money for cpp
R_Bxm1rQr6Qc88qSR,Poverty,EN,Poverty
R_By9MTMYDzI2HFOF,Education,EN,Education
R_ByAjFtPl8Vddhe1,Environment,EN,Environment
R_ByLJEZ09Pa3YfbX,Endettement,FR-CA,Debt
R_ByN3drxP6kFRq2B,getting trudeau out of power,EN,getting trudeau out of power
R_ByT5ksn3Ie3jCDf,Santé,FR-CA,Health
R_ByUCFj7u9rnMGNr,Not sure,EN,Not sure
R_ByWaL5GdceONW4V,vaccines and human rights,EN,vaccines and human rights
R_BysEMHdyP2ha3Sh,Affordable housing,EN,Affordable housing
R_ByvgNzDcWUVrV5v,Corruption libérale,FR-CA,Liberal corruption
R_BzSudvJH9dDdsfT,"Get Mr Trudeau & his party to address refugees (especially allies), housing,economy",EN,"Get Mr Trudeau & his party to address refugees (especially allies), housing,economy"
R_Bzy3yyH1f6MtsPf,Nothing - it should never have been called,EN,Nothing - it should never have been called
R_C1Re9Lp4JvLQABX,Climate Emergency,EN,Climate Emergency
R_C201mYUMhWnCFPP,Election reform. The environment.,EN,Election reform. The environment.
R_C2J7FYZeU6e60Df,La valorisation du français et la défense des intérêts du Québec,FR-CA,The development of French and the defence of Quebec's interests
R_C2JvNVW1CUiBwoF,La dette nationale et l’emploi,FR-CA,National debt and employment
R_C2KpmZEwcLHpEs1,mental health,EN,mental health
R_C2cA9YTY9sTlNWp,I don’t know,EN,I don’t know
R_C2e79QS3u8ExW4p,Empêcher les conservateurs de prendre le pouvoir envue d’appliquer des idées économiques et sociales dépassées...,FR-CA,To prevent conservatives from taking power to apply outdated economic and social ideas...
R_C2hH8L7kyWdDbCV,Santé,FR-CA,Health
R_C3PzqdChst92tYl,a  honest government,EN,a  honest government
R_C3R8tRDApoDk7Gp,Environnement,FR-CA,Environment
R_C3ppwU9KcrNM7cZ,Finances,EN,Finances
R_C3qVuw73GhkgE0N,Dealing with the plague specifically and healthcare in general.,EN,Dealing with the plague specifically and healthcare in general.
R_C4aSVDo9P2eQUCt,Respect des champs de compétences provinciale,FR-CA,Adherence to Provincial Jurisdiction
R_C4uKnFqR7XfzWfL,Covid19 et économie,FR-CA,Covid19 and economy
R_C4woSSWNmYJDsRj,Getting pass the pandemic,EN,Getting pass the pandemic
R_C775dZwVrZeLMnn,la  pandémie,FR-CA,Pandemic
R_C7S1BjTWILPfCx3,Rising cost of living,EN,Rising cost of living
R_C7xOwrVzIYBFFIt,Poverty,EN,Poverty
R_C8NNa1NWlFfd0nT,Senior Poverty,EN,Senior Poverty
R_C8P33whDOhAjzdT,Gun control & crime,EN,Gun control & crime
R_C8QIAt4lpdv9y0x,Economy,EN,Economy
R_C90JNHBbgLsnQB3,getting Trudeau out of the office,EN,getting Trudeau out of the office
R_C9B3o8abpPvIEVj,Économie et environnement,FR-CA,Economy and environment
R_C9OHly8YnYYqhJn,Poverty,EN,Poverty
R_C9PTEtDJan4l8HL,"Qualité de vie des canadiens, égalité des chances",FR-CA,"Quality of life of Canadians, equal opportunities"
R_C9RqHijF6Lryk9P,Majorité Libéral,FR-CA,Liberal majority
R_C9Vy1IVURkU14lj,rien,FR-CA,Nothing.
R_C9pC9vqveOUsXBL,Ethics in government,EN,Ethics in government
R_C9y7GbN4MYJ0GPv,Increasing OAS Pensions for anyone 65 and older,EN,Increasing OAS Pensions for anyone 65 and older
R_CZFGwuYOxUB8CqZ,economy,EN,economy
R_CZXYwQLoZw4YnD3,Covid,EN,Covid
R_Ca9VEzbOiQxHClb,high tax,EN,high tax
R_CakJdXN1O07SWAh,THE NEED TO ELECT A GOOD STRONG LEADER,EN,THE NEED TO ELECT A GOOD STRONG LEADER
R_CaxpJ3u3zWo0meR,Climate change,EN,Climate change
R_CdHLvg7vuqFTlHr,L'économie par fait de faire payer plus d'impôt aux multinationales et aux ultra-riches!!!,FR-CA,The economy by making the multinationals and the ultra-rich pay more tax!!!
R_CdKiTXkYDcvcn17,No good choice,EN,No good choice
R_CdagFVFm5dkD0bv,Get Trudeau the fuck out of there,EN,Get Trudeau the fuck out of there
R_CdiX1iUFNlR1OlH,L’économie,FR-CA,Economy
R_CeMQz8yMSDOMvUB,le salaire minimum,FR-CA,minimum wage
R_CeT7nXmWLiWDjWN,ending covid restrictions,EN,ending covid restrictions
R_CeToQjrE9YMMA6J,Covid,FR-CA,Covid
R_CenWoM5fbY74psR,Changement climatique,FR-CA,Climate change
R_Ceq0UoAqobYlmut,Health care,EN,Health care
R_CesOh49keD475nz,Santé,FR-CA,Health
R_Cf2VXS640tbzP2N,No more big spending,EN,No more big spending
R_Cf8S2MxKA240kO5,Covid  Virus,EN,Covid  Virus
R_CfB4sH5Vxi1WnT3,Santé,FR-CA,Health
R_CfalSDRWswCYNG1,"extra financial assistance for persons on disability allowances like AISH, etc",EN,"extra financial assistance for persons on disability allowances like AISH, etc"
R_CfewwGhdgjPj9PX,Getting rid of Trudeau,EN,Getting rid of Trudeau
R_CfgKNivFeZixhYJ,-99,EN,-99
R_Cg00Dt9VtJrp2md,Student financial support,EN,Student financial support
R_Cgd5ay3CiEVLxCx,Environnement,FR-CA,Environment
R_Cgk8Nudi5yURGc9,Covid recovery,EN,Covid recovery
R_CjC2cxZ1MS7oNhv,Cost of living,EN,Cost of living
R_CjCLVYeW8N8tHGx,Freedom angry about vaxx passports,EN,Freedom angry about vaxx passports
R_CjG1kFJ2tXz9PIR,Pandémie,FR-CA,Pandemic
R_CjN2TLw0QLDPtkJ,Child Care,EN,Child Care
R_CjeJmfrihtO5AhH,Covid-19,EN,Covid-19
R_CjhylCgR0Mq4q09,the deficit is,EN,the deficit is
R_CjnwPjKqwpbbw77,Job security,EN,Job security
R_CkLFHqh82UFWIDf,climate emergency,EN,climate emergency
R_CkUtBp1aqoQOiNr,There are too many,EN,There are too many
R_CkaNxEj0aqmvPFf,Climate change,EN,Climate change
R_CknEcqLcQHp3IM9,The cost of my prescriptions,EN,The cost of my prescriptions
R_CkudtyED0mDbSfv,"lack of fairness in the debates, more focus on saying the other candidates are bad than in providing for the people",EN,"lack of fairness in the debates, more focus on saying the other candidates are bad than in providing for the people"
R_Cl76oUkA8QNMrZL,débarquer trudeau,FR-CA,Unload Prudeau
R_ClB78JAr8qxSESt,Climate change,EN,Climate change
R_ClBQ8LSdqo4t28x,too many refugees,EN,too many refugees
R_ClEMMaU6K1lH1cJ,Gestion de la pandémie,FR-CA,Pandemic management
R_ClfT9rpVkFVjdVn,La pauvreté,FR-CA,Poverty
R_Clhew4Z7y3OdhQZ,climate change,EN,climate change
R_ClhkxP1KAQKMj9n,covid,EN,covid
R_CmfPx9BaSNyi9up,Individual liberty,EN,Individual liberty
R_CmlMUQG91ZfDENr,Increasing life quality on Reservations/support for Indigenous Canadians,EN,Increasing life quality on Reservations/support for Indigenous Canadians
R_CmmBW86NvUVr5qp,Lack of trust in the government and mandatory vaccination,EN,Lack of trust in the government and mandatory vaccination
R_CmovafBZQt0gDPr,Environnement,EN,Environnement
R_Cmqm6KoCvO9jy5X,To have no election,EN,To have no election
R_D0jhkAPO0vEFB6h,Covid,EN,Covid
R_D0sPWkPLtiUXcgV,Mental health,EN,Mental health
R_D0sxUgXklirfPe9,COVID 19,EN,COVID 19
R_D1ADhnqNgZd7KKt,protecting the environment,EN,protecting the environment
R_D1PC4Xr6Xu73s2J,"L'Économie ou même la gestion de la COVID (vaccin, passeport vaccinal)",FR-CA,"The Economy or even the management of VOCID (vaccine, vaccine passport)"
R_D1RYxGpD8YR32BX,Climate action.,EN,Climate action.
R_D1S760RxwrDl1XX,Taking care of our people,EN,Taking care of our people
R_D1WQjgMFrb3t6G5,L'environnement,FR-CA,Environment
R_D1oNdUjYaIwygpP,Budget,FR-CA,Budget
R_D1paQuehka3GRmF,Health care,EN,Health care
R_D29Egv2srGVUWdj,health care,EN,health care
R_D2ILuDeequYJuN3,integrity of elected officials,EN,integrity of elected officials
R_D2UdgbQ8Q7NsOhX,healthcare,EN,healthcare
R_D2XO1HpHVmFE0lb,Being able to apply for a pardon,EN,Being able to apply for a pardon
R_D2fvxOvyfFN1GWl,Leadership not corrupt,EN,Leadership not corrupt
R_D5LAUN9KoXUqjbH,Education,EN,Education
R_D5Xjzp7qtioML2V,Justine Trudelle,EN,Justine Trudelle
R_D5Z4ibJaJ6t9m0h,Make a decision,EN,Make a decision
R_D60eH0lXPZUTV0B,Soins aux personnes âgées,FR-CA,Care for the elderly
R_D64BTlrUIJygX6h,Environment,EN,Environment
R_D6GqfZPietdGY4F,Climate Change,EN,Climate Change
R_D6N0AtQgmRlsGel,COVID,EN,COVID
R_D6RiqiSZ3TV82A1,Economic recovery,EN,Economic recovery
R_D6TXAT7cbxDhpDj,Liberls dont win,EN,Liberls dont win
R_D75DueOx1At8Mwx,How we recover economically from covid 19,EN,How we recover economically from covid 19
R_D7D8J8TfkwYQzKx,A forward looking Covid management plan of action and committed elected officials,EN,A forward looking Covid management plan of action and committed elected officials
R_D7Fbtz56KT0DbEJ,La pandémie et vieillissement de la planète,FR-CA,The Pandemic and Global Ageing
R_D7UXp0LPAelk5J7,Environmentally friendly energy,EN,Environmentally friendly energy
R_D7Yghn3jwy4PchX,The environment,EN,The environment
R_D7bHEMY9TGEUOg9,Economy,EN,Economy
R_D7bOngS7zJq1rMJ,Place du Québec au Canada,FR-CA,Place du Québec au Canada
R_D7uKRiAfb3gXWDf,Making sure we don't get taxed to death,EN,Making sure we don't get taxed to death
R_D80zrXjZ1drC1QR,Quelqu'un qui nous représente bien,FR-CA,Someone who represents us well
R_D8LVSCalzzBKPst,Vaccination obligatoire,FR-CA,Compulsory vaccination
R_D8N2bEhzEEhoAW5,Maintenir des pouvoirs pour le Québec et ses champs de compétence,FR-CA,Maintaining powers for Quebec and its areas of jurisdiction
R_D8N2yKQN7dWGdON,Environmental,EN,Environmental
R_D8XEEzcPxmCh42d,,EN,
R_D8f81yzsNdA6UIV,Real Estate,EN,Real Estate
R_D8jZ4EVlkHWfiIV,COVID,EN,COVID
R_D8oDc0wWr7mizG9,Liberals,EN,Liberals
R_DACqHt8lOnpeyjf,Housing,EN,Housing
R_DAIirCyzUKAkJCF,Éducation,FR-CA,Education
R_DAYPRdJLAJZtyO5,Don't know,EN,Don't know
R_DBMf4Zzs60XwhRD,Rien,FR-CA,Nothing.
R_DBQJvdcDLnKevpn,TAXES,EN,TAXES
R_DBScsLyc74f0HU5,income for seniors,EN,income for seniors
R_DBnZJAwdEsq7TtD,Poverty,EN,Poverty
R_DBtztDFYbITHBXX,Pandémie,FR-CA,Pandemic
R_DBv0lhTGKK733KF,Climate change,EN,Climate change
R_DC44VJ53079mtmF,Environmental issues,EN,Environmental issues
R_DC4fR8Lg1FaWpl7,Federal debt,EN,Federal debt
R_DC8mYTiT8Njuh6p,juste support équitable aux provinces et octrois des budgets nécessaires,FR-CA,fair and equitable support to the provinces and the necessary budget allocations
R_DCRK51YKUkfsqqJ,LA SANTER,FR-CA,HEALTH
R_DCXGjqXbqM2QcYV,Health care,EN,Health care
R_DCZAOa8DaXY0zHr,Environnement,FR-CA,Environment
R_DCrKvfh2b4VU0CJ,La santé,FR-CA,Health
R_DCur9TLzncRcKFr,Climate Change,EN,Climate Change
R_DCxkxoJwEdC6vyF,pandemic recovery,EN,pandemic recovery
R_DDdoQBF5BVKflW9,Housing affordability,EN,Housing affordability
R_DDjODXolMwtUqD7,Student issues,EN,Student issues
R_DGGAbrBZlAuAJUJ,leadership,FR-CA,Leadership
R_DGK9OfYWdVRiqd3,Environnement,FR-CA,Environment
R_DGfAmWK56AcVmHT,Sante,FR-CA,Health
R_DGl4y8Ux4dEUGBP,The Economy,EN,The Economy
R_DGpq2y2RjmY8OM9,Économie,FR-CA,Economy
R_DH3igFboV2AHX2x,Economy,EN,Economy
R_DH5QspknHLLrG9z,La réduction de la dette dans laquelle Trudeau nous a plongé.,FR-CA,The debt reduction Trudeau plunged us into.
R_DH635SGQzJVIyvn,Fiscal responsibility,EN,Fiscal responsibility
R_DH8BxMOB9NZLzJ7,health care wait times,EN,health care wait times
R_DHNUTAlS8U6CRmp,Cost of living/housing,EN,Cost of living/housing
R_DHVwJmwDsvBUa4x,Jobs,EN,Jobs
R_DHn3SlrgDIODnVv,climate change,EN,climate change
R_DHnHzyVwvpSR4RP,Seniors,EN,Seniors
R_DHqBSw3qZUl9acp,Keeping our democracy,EN,Keeping our democracy
R_DHw58vPAQryMRXj,Investissement en éducation et santé,FR-CA,Investment in education and health
R_DI59DmcLu5SpBIZ,Seniors,EN,Seniors
R_DI6p3fSBNkUlzAl,changement climatique,FR-CA,Climate Change
R_DI6qM1LiZQn9Kwh,Covid passports,EN,Covid passports
R_DITxfhzbeYQWbKN,Unsure,EN,Unsure
R_DIUYKS5EDQcg2Rj,changements climatiques,FR-CA,English
R_DIbcoD5kdQKTstj,Housing,EN,Housing
R_DIdIiqesEGw6Mpj,The unmitigated deceit and corruption demonstrated by Trudeau and the Liberals.,EN,The unmitigated deceit and corruption demonstrated by Trudeau and the Liberals.
R_DIiKlcQG7nPprIl,dette,FR-CA,debt
R_DItUp9ye9inf4id,Economic recovery,EN,Economic recovery
R_DIuFaGCuRaage8F,integrity,EN,integrity
R_DIyl3QFvaS8kjBf,Housing affordability,EN,Housing affordability
R_DJqFIoEq1BBnuw1,La santé,FR-CA,Health
R_DJqGC5lPS3PXrBn,housing,EN,housing
R_DLXlYGUHB9p8W2t,L’économie du pays,FR-CA,The economy of the country
R_DM1PWQAfnmNe4Kt,help for seniors,EN,help for seniors
R_DMI240KqoXqIbqp,Controlling the pandemic.,EN,Controlling the pandemic.
R_DMOkLBp5nGm9cFX,MINIMUM WAGE AND HOUSING,EN,MINIMUM WAGE AND HOUSING
R_DN6IsTGmEgnMrkZ,Need a change in direction; replacement of current government,EN,Need a change in direction; replacement of current government
R_DNA0R9mv1uUYwyl,COVID-19,EN,COVID-19
R_DNAiH9La5Upvxxn,THE PERSON,EN,THE PERSON
R_DNAmckzlxoD4fWp,Environnement et changements climatiques,FR-CA,Environment and climate change
R_DNOZD7kVMdaX7rz,Santé,FR-CA,Health
R_DNUPYL4bpTwwgq5,Economy,EN,Economy
R_DNae8ehY4hp6vjr,basic income,EN,basic income
R_DNbFqXmddSj7Vvj,L’immigration,FR-CA,Immigration
R_DNdkZenL8j5zJi9,CoVid reduction / care,EN,CoVid reduction / care
R_DNoUw5n1sGGgf7z,Le passeport vaccinal et le code QR pour les activités de tous les jours,FR-CA,The vaccine passport and QR code for daily activities
R_DNtqDgT9BELXLR7,foreign policy,EN,foreign policy
R_DO7WMCzFNOaO9YR,Climate change,EN,Climate change
R_DOUvyPLDeA4QJzz,Clinate change and how Canada handles it,EN,Clinate change and how Canada handles it
R_DOigtHMxN8lDiud,"Health care, prescriptions, roads, to much immigration,money spent foolishly, cost of living,seniors care and taxes paid all ther lives?",EN,"Health care, prescriptions, roads, to much immigration,money spent foolishly, cost of living,seniors care and taxes paid all ther lives?"
R_DOwPKtDSZ7wKSDT,Housing affordability,EN,Housing affordability
R_DP4E5Qeu4qAQXxD,O'Toole and his constant griping,EN,O'Toole and his constant griping
R_DPkpae6bKTdUBMd,Affordability,EN,Affordability
R_DPlNVBPuUYqLmuJ,L’économie,FR-CA,Economy
R_DPqfnaJaPd087eh,The Economy,EN,The Economy
R_DS0612mCN0MESvn,Affordable living,EN,Affordable living
R_DS1Jw5GGFgMdCNz,Justin Trudeau does not respect people in society.  He does not care about the fact that many people cannot vote because of how hard this pandemic is on people.  He cannot wait till his time to be re-elected and will not give people the time they deserve to think about their votes.  He is a coward and a bigot.  I was so very stressed and depressed already and not I cannot even get out of bed.  I cannot even think about elections.  I think he is the next Hitler regarding this Snap Federal Election.  All I feel is hate and distrust in Justin Trudeau.,EN,Justin Trudeau does not respect people in society.  He does not care about the fact that many people cannot vote because of how hard this pandemic is on people.  He cannot wait till his time to be re-elected and will not give people the time they deserve to think about their votes.  He is a coward and a bigot.  I was so very stressed and depressed already and not I cannot even get out of bed.  I cannot even think about elections.  I think he is the next Hitler regarding this Snap Federal Election.  All I feel is hate and distrust in Justin Trudeau.
R_DS7tmtrhzDCtHkl,Health Care,EN,Health Care
R_DSGZMkKF1VRZipj,Climate Change,EN,Climate Change
R_DSImgVj0WhYHAFH,Economy,EN,Economy
R_DSP6wafphs2fIIN,Environnement,FR-CA,Environment
R_DSPl5Qip4f5qnwR,cost of living,EN,cost of living
R_DSSIf7bKtHdJCaB,The overspending  of goverment.,EN,The overspending  of goverment.
R_DSqGzJok9C0EaBj,Revenir à un équilibre budgétaire et abaisser la dette,FR-CA,Returning to a balanced budget and reducing debt
R_DT3XqXdcXVdaepb,Seniors Care,EN,Seniors Care
R_DT9Y7qtLtz21piV,Affordable housing,EN,Affordable housing
R_DTDbzaqsGiAaO1X,Climate,EN,Climate
R_DTPfVuGP9IXOHyF,"Making the provincial payments more equal, having Alberta's vote count just as much as Ontario's",EN,"Making the provincial payments more equal, having Alberta's vote count just as much as Ontario's"
R_DTSbuTvPMd4RRO9,Perte de temps et d’argent,FR-CA,Loss of time and money
R_DTyj8Mx3mqukZz3,L’environnement,FR-CA,Environment
R_DULkvZJZe7HVHbj,Environnement,FR-CA,Environment
R_DUZO3Ak0N2oOwBb,stop socialism in it's tracks,EN,stop socialism in it's tracks
R_DUc1yw0XB6x8EVP,To stop bickering between candidates = truly address issues with integrity.,EN,To stop bickering between candidates = truly address issues with integrity.
R_DUmJ6hJFdbH4Vzz,climate change,EN,climate change
R_DUxXCJ6DovRJfb3,Upgrading pensions,EN,Upgrading pensions
R_DV4aEp70ui1qEKJ,Economic recovery,EN,Economic recovery
R_DVlyE3XMQzzOC2t,Santé,FR-CA,Health
R_DVncljZJS51PAFr,La santé,FR-CA,Health
R_DVtrslfAucRpNlf,The economy,EN,The economy
R_DbIhK9pruUdJv6p,Pandemic recovery,EN,Pandemic recovery
R_DcNLZEG7voQIYCJ,Pandemic Recovery,EN,Pandemic Recovery
R_DcPq3IFJ91BhUBP,Healthcare,EN,Healthcare
R_DcWuonbE52fk8RH,Climate Change,EN,Climate Change
R_Dd7cu7hqX3QOctH,To elect,EN,To elect
